stage,evidence_class,terminal_status,research_role,primary_or_secondary,allowed_use
B12_PRIMARY,ABORTED_CONFIRMATORY,B12_PRIMARY_INCOMPLETE_OFFICIAL_OUTCOME_MATCH,"Preserve missing official outcome keys and explain why the 420-cell seal is not a completed confirmatory calibration test.",PRIMARY,"Protocol and results provenance; never report as a completed calibration failure."
B12_AVAILABLE_CASE,DIAGNOSTIC,B12_AVAILABLE_CASE_DIAGNOSTIC_90_CRITERION_NOT_MET,"Provide external diagnostic evidence of interval undercoverage on 387 observable sealed keys.",SECONDARY,"Report only with explicit diagnostic label; do not replace the B12 primary estimand."
B13,PREOUTCOME_PROTOCOL_LOCK,B13_FORWARD_DRIFT_CALIBRATION_LOCKED,"Define the two frozen 90% interval competitors and officially observable sealed-key estimand before later outcome evaluation.",PRIMARY,"Protocol chronology; not a performance result."
B13A,PREOUTCOME_SOURCE_COMPATIBILITY_FAILURE,B13A_2023_T1_CONTEXT_INSUFFICIENT,"Show that the declared decision-time information state could not be reconstructed from the official 2023 source interface.",PRIMARY,"Report as deployment-interface failure, not predictor failure."
B13S,EXTERNAL_PROVENANCE_NEGATIVE_RESULT,B13S_2023_NO_ADMISSIBLE_PLANTING_DATE_RECOVERY,"Confirm no admissible exact planting-date recovery from the audited source path.",PRIMARY,"Provenance support for closing the 2023 path."
B14A,PREOUTCOME_SOURCE_COMPATIBILITY_PASS,B14A_2024_READY_FOR_PREOUTCOME_SEAL,"Establish the 798-cell 2024 candidate universe under unchanged B5 support and T1 encoding.",PRIMARY,"Source compatibility and pre-seal evidence."
B14B,IMMUTABLE_PREDICTION_SEAL,B14B_2024_SEALED_PREDICTIONS_READY_FOR_REVEAL,"Freeze 798 predictions and immutable SHA-256 before repository access to observed 2024 outcomes.",PRIMARY,"Central reproducibility evidence."
B14C,COMPLETED_CONFIRMATORY_EXTERNAL_EVALUATION,B14C_AUTHORITATIVE_PASS_BOOLEANS_CONTROL_TRUE_ADAPTIVE_FALSE,"Provide the sole completed confirmatory external anchor in the closure span on 779 officially observable sealed keys.",PRIMARY,"Point-prediction and uncertainty evidence."
B15,NEGATIVE_METHOD_NOVELTY_AUDIT,B15_T1_FEEDBACK_DECISION_NOVELTY_REJECTED_TERMINATE_B15,"Prevent calibration-transport and feedback-decision formalism from being promoted as new methodology.",SECONDARY,"Research-hygiene provenance only."
B16,POSTOUTCOME_DIAGNOSTIC,B16_EXTERNAL_ERROR_STRUCTURE_DIAGNOSTIC,"Diagnose mixed environment-offset and within-environment failure plus response under-dispersion without repairing the predictor.",SECONDARY,"Failure analysis only; not confirmatory method evidence."
B17,STRUCTURAL_BACKGROUND_AND_NEGATIVE_NOVELTY,B17_T1_ARCHITECTURE_CONTRACTION_NOVELTY_REJECTED_TERMINATE_B17,"Explain the additive architecture's environment-invariant genotype contrasts and reject novelty inflation.",SECONDARY,"Structural explanation and limitations; algebra is background."
CASE_STUDY_B_CLOSURE,SCIENTIFIC_CONTRIBUTION_AUDIT,CASE_STUDY_B_CLOSED_EXTERNAL_VALIDATION_CONTRIBUTION_SUPPORTED_METHOD_NOVELTY_NOT_SUPPORTED_B18_SEPARATE_HYPOTHESIS_GATE_ONLY,"Freeze the scientific contribution, evidence classes and claim boundaries after B17-T1.",PRIMARY,"Controls interpretation of the closed Case Study B evidence."
B18,NEGATIVE_FORECAST_TIME_NOVELTY_AUDIT,B18_FORECAST_TIME_INFORMATION_NOVELTY_REJECTED_NO_MODEL_DEVELOPMENT,"Record that the forecast-time GxE novelty route collided with prior art and standard information logic before model development.",SECONDARY,"Research-hygiene evidence; no method-development claim."
