claim_id,manuscript_section,evidence_class,claim_summary,authoritative_paths,supporting_docs,publication_language,prohibited_upgrade
M01,Methods/Frozen deployment object,PROTOCOL,"The external-validation program keeps the frozen G+E_T1 predictor and T1_30DAP horizon unchanged.","reports/results/case_study_b14b_2024_seal_decision.csv|reports/results/case_study_b_pub_b1_lock.json","docs/case_study_b14b_2024_sealed_prediction.md|docs/case_study_b_pub_b1_publication_synthesis_lock.md","frozen early-season G+E_T1 deployment object","Do not describe PUB-B2 as a model-development stage."
M02,Methods/2022 seal,PRIMARY_PROVENANCE,"B12 sealed 420 predictions across 14 environments and 43 frozen-genome hybrids before reveal.","reports/results/case_study_b12_2022_prediction_seal.json|reports/results/case_study_b12_2022_primary_status.csv","docs/case_study_b_external_temporal_validation.md","sealed 2022 prediction cohort","Do not imply that the full 420-cell primary cohort was evaluable."
R01,Results/2022 primary,ABORTED_CONFIRMATORY,"Thirty-three of 420 sealed B12 keys were absent from the official answer key, so the primary confirmatory test was incomplete.","reports/results/case_study_b12_2022_primary_status.csv|reports/results/case_study_b12_2022_missing_answer_keys.csv","docs/case_study_b_external_temporal_validation.md","incomplete primary external test because official keys were missing","Do not call the 420-cell cohort a completed calibration failure."
R02,Results/2022 diagnostic,DIAGNOSTIC,"The separately labeled 387-case B12 available-case diagnostic had RMSE 2.8036753860 and 90% empirical coverage 0.8527131783.","reports/results/case_study_b12_2022_available_case_summary.csv|reports/results/case_study_b12_2022_available_case_coverage.csv","docs/case_study_b_external_temporal_validation.md","non-confirmatory available-case diagnostic","Do not promote this diagnostic to the primary B12 estimand."
R03,Results/2022 diagnostic,DIAGNOSTIC,"B12 90% environment-balanced coverage was 0.8487186683 with cluster interval [0.7740271226, 0.9253777638].","reports/results/case_study_b12_2022_available_case_coverage.csv","docs/case_study_b_external_temporal_validation.md","diagnostic negative calibration-transport signal","Do not infer a general temporal calibration law."
M03,Methods/B13 protocol,PREOUTCOME_PROTOCOL,"B13 locked FROZEN_B11_90 and ONE_SIDED_CLUSTER_DRIFT_GUARD_90 before any 2023 evaluation and set the adaptive level to 0.9512813317177465.","reports/results/case_study_b13_preoutcome_lock.csv","docs/case_study_b13_forward_drift_calibration.md","pre-outcome interval-rule lock","Do not present B13 as a 2023 performance result."
M04,Methods/Primary estimand,PREOUTCOME_PROTOCOL,"The primary estimand was prospectively defined as OFFICIALLY_OBSERVABLE_SEALED_KEYS and selection cannot use outcome values.","reports/results/case_study_b13_preoutcome_lock.csv|reports/results/case_study_b14c_2024_primary_summary.csv","docs/case_study_b13_forward_drift_calibration.md|docs/case_study_b14c_2024_sealed_reveal.md","official key presence determines evaluability","Do not describe numerical yield as a cohort-selection variable."
R04,Results/2023 interface,PRIMARY_SOURCE_INTERFACE,"B13A found 27 safe 2023 metadata environments but zero T1-metadata-feasible environments because no explicit planting date was available.","reports/results/case_study_b13a_2023_lock_decision.csv","docs/case_study_b13a_2023_source_audit.md","decision-time source-interface incompatibility","Do not call this a predictor or calibration failure."
R05,Results/2023 provenance,PRIMARY_SOURCE_INTERFACE,"B13-S recovered zero admissible exact planting dates from the audited authoritative historical metadata source.","reports/results/case_study_b13s_2023_lock_decision.csv","docs/case_study_b13s_2023_planting_date_recovery.md|docs/case_study_b13s_2023_external_source_search.md","negative provenance result under the searched source boundary","Do not claim that no private or unpublished planting records exist."
R06,Results/2024 compatibility,PRIMARY_PREOUTCOME,"B14A admitted a 798-cell candidate universe across 92 supported hybrids and 19 fully reconstructed T1 environments.","reports/results/case_study_b14a_2024_lock_decision.csv","docs/case_study_b14a_2024_source_compatibility.md","positive pre-outcome compatibility gate","Do not imply any 2024 observed yield was used."
M05,Methods/2024 seal,IMMUTABLE_SEAL,"B14B sealed 798 predictions with SHA-256 91c765ea994f557db1911865309bca94ebc2110b87a5fea483a03c879d1fb19d before repository outcome access.","reports/results/case_study_b14b_2024_seal_decision.csv|reports/results/case_study_b14b_2024_prediction_seal.json","docs/case_study_b14b_2024_sealed_prediction.md","seal-first blinded relative to repository outcome access","Do not call the 2026 execution calendar-time prospective before the 2024 outcomes were public."
R07,Results/2024 cohort,COMPLETED_CONFIRMATORY,"Of 798 sealed 2024 predictions, 779 exact keys were officially observable and 19 were absent; inclusion used key presence only.","reports/results/case_study_b14c_2024_primary_summary.csv|reports/results/case_study_b14c_2024_key_audit.csv","docs/case_study_b14c_2024_results.md","completed confirmatory evaluation on officially observable sealed keys","Do not call missing keys outcome-dependent exclusions."
R08,Results/2024 point prediction,COMPLETED_CONFIRMATORY,"B14C point prediction had RMSE 2.6197348509, MAE 2.1234900140, R2 0.1484401927, and correlation 0.3909010944.","reports/results/case_study_b14c_2024_primary_summary.csv","docs/case_study_b14c_2024_results.md","modest but nontrivial external generalization","Do not claim state-of-the-art predictive performance."
R09,Results/2024 uncertainty,COMPLETED_CONFIRMATORY,"FROZEN_B11_90 achieved environment-balanced coverage 0.8997721030, passed the inherited criterion, and had mean interval score 10.5300724937.","reports/results/case_study_b14c_2024_interval_summary.csv","docs/case_study_b14c_2024_results.md","frozen control interval rule passed the 2024 criterion","Do not generalize this pass beyond the frozen target and protocol."
