claim_id,claim,permitted,claim_class,evidence_stage
PUBB1-C01,"The repository executed seal-first blinded external validation relative to repository outcome access for the frozen 2024 G2F target.",True,PRIMARY_ALLOWED,B14A-B14C
PUBB1-C02,"The 2024 evaluation was calendar-time prospective before the outcomes became public.",False,PROHIBITED_OVERCLAIM,B14C-CLOSURE
PUBB1-C03,"The B12 420-cell primary confirmatory cohort completed and failed calibration.",False,PROHIBITED_B12_INFLATION,B12
PUBB1-C04,"The B12 387-cell available-case cohort supplied diagnostic negative evidence for interval transport.",True,ALLOWED_WITH_DIAGNOSTIC_LABEL,B12
PUBB1-C05,"The 2023 target was unevaluable under the frozen T1 information interface because admissible exact planting dates were unavailable.",True,PRIMARY_SOURCE_INTERFACE_RESULT,B13A-B13S
PUBB1-C06,"The 2024 source compatibility gate admitted a frozen 798-cell prediction universe before outcome access.",True,PRIMARY_ALLOWED,B14A
PUBB1-C07,"B14B sealed 798 predictions with SHA-256 91c765ea994f557db1911865309bca94ebc2110b87a5fea483a03c879d1fb19d before repository access to the observed 2024 yield object.",True,PRIMARY_ALLOWED,B14B
PUBB1-C08,"The B14C primary observable sealed-key cohort contains 779 cells across 19 environments and 92 genotypes.",True,PRIMARY_ALLOWED,B14C
PUBB1-C09,"On B14C the frozen G+E_T1 point predictor achieved RMSE 2.6197348509 and R2 0.1484401927.",True,PRIMARY_ALLOWED,B14C
PUBB1-C10,"The frozen B11 90% interval rule passed the inherited 2024 calibration criterion with environment-balanced coverage 0.8997721030.",True,PRIMARY_ALLOWED,B14C
PUBB1-C11,"The one-sided carry-forward drift guard failed the inherited 2024 calibration criterion with environment-balanced coverage 0.9521031534 and worse mean interval score than the frozen control.",True,PRIMARY_ALLOWED,B14C
PUBB1-C12,"Case Study B establishes a general monotone or nonmonotone law of seasonal calibration error.",False,PROHIBITED_OVERGENERALIZATION,B12-B14C
PUBB1-C13,"The direction of the previous observed calibration error was not sufficiently transport-stable to justify the predeclared one-sided next-season correction in this frozen sequence.",True,PRIMARY_ALLOWED,B12-B14C
PUBB1-C14,"B15 introduces a new calibration-transport or feedback-decision method.",False,PROHIBITED_NOVELTY_INFLATION,B15
PUBB1-C15,"B16 shows mixed 2024 error structure including environment offsets, within-environment error, weak-to-moderate genotype ordering and prediction under-dispersion.",True,ALLOWED_DIAGNOSTIC_INTERPRETATION,B16
PUBB1-C16,"B16 establishes a new error-decomposition methodology.",False,PROHIBITED_NOVELTY_INFLATION,B16
PUBB1-C17,"For the deployed additive G+E architecture the environmental main effect cancels from same-environment genotype contrasts in exact arithmetic.",True,ALLOWED_STRUCTURAL_BACKGROUND,B17
PUBB1-C18,"B17 establishes a new response-amplitude transport method or contraction theorem.",False,PROHIBITED_NOVELTY_INFLATION,B17
PUBB1-C19,"B18 establishes a new forecast-time GxE methodology.",False,PROHIBITED_NOVELTY_INFLATION,B18
PUBB1-C20,"B18 found three direct primary-prior-art collisions and zero surviving novel formal objects, so model development inside B18 was rejected.",True,PRIMARY_NEGATIVE_NOVELTY_RESULT,B18
PUBB1-C21,"Case Study B validates support-based abstention as a selective-risk mechanism.",False,PROHIBITED_UNSUPPORTED_CLAIM,B11-B18
PUBB1-C22,"Case Study B introduces a new state-of-the-art GxE predictive architecture.",False,PROHIBITED_UNSUPPORTED_CLAIM,CLOSURE
PUBB1-C23,"T2 was reopened after closure.",False,PROHIBITED_PROTOCOL_VIOLATION,CLOSURE-B18
PUBB1-C24,"B18 automatically authorizes B19 model development.",False,PROHIBITED_PROTOCOL_VIOLATION,B18-PUBB1
PUBB1-C25,"The central publication contribution is seal-first blinded external-validation discipline, failure preservation, reproducible provenance and hostile novelty termination rather than a new estimator.",True,PRIMARY_PUBLICATION_FRAME,CLOSURE-PUBB1
