candidate_contribution,support_status,generic_method_novelty,publication_role,evidence,boundary
SEAL_FIRST_BLINDED_EXTERNAL_VALIDATION_DISCIPLINE,SUPPORTED_RESEARCH_DESIGN_AND_PROVENANCE_CONTRIBUTION,False,PRIMARY,B12 seal preservation plus B14A/B14B/B14C source-gate -> seal -> reveal chain,"Do not call the 2026 execution calendar-time prospective; 2024 outcomes were already public, but were not accessed before the seal."
EARLY_DECISION_TIME_INFORMATION_BOUNDARY_T1_30DAP,SUPPORTED_OPERATIONAL_EXPERIMENTAL_CONSTRAINT,False,PRIMARY_CONTEXT,Frozen planting-through-30-DAP environmental state preserved across external source gates,"Information-time discipline is a study design choice, not by itself a new GxE model."
PREVIOUS_SEASON_CALIBRATION_DIRECTION_NONTRANSPORT,SUPPORTED_B12_DIAGNOSTIC_PLUS_B14C_CONFIRMATORY,False,PRIMARY_EMPIRICAL_RESULT,2022 diagnostic env-balanced 90% coverage=0.848718668282; 2024 C0=0.899772103000; C1=0.952103153433,Supports rejection of this one-sided carry-forward feedback rule; does not identify a general temporal path or a universal nonmonotone law of calibration error.
ONE_SIDED_SEASON_FEEDBACK_GUARD,REJECTED_BY_2024_EXTERNAL_TEST,False,PRIMARY_NEGATIVE_RESULT,C1 calibration_pass=False and interval_score=11.106252 > C0=10.530072,No post-hoc alternative feedback rule may be substituted into the B14C result.
SOURCE_INTERFACE_AS_DEPLOYABILITY_CONDITION,SUPPORTED_OPERATIONAL_SCIENCE,False,SECONDARY,2023 T1 reconstruction impossible under authoritative pre-outcome sources; 2024 reconstruction feasible without changing the clock.,"This is a provenance/information-interface finding, not model-performance evidence for 2023."
2024_POINT_PREDICTION_EXTERNAL_GENERALIZATION,SUPPORTED_MODEST_NONTRIVIAL_EXTERNAL_PERFORMANCE,False,PRIMARY_EMPIRICAL_RESULT,"n=779, RMSE=2.619735, R2=0.148440, Pearson=0.390901",Performance does not establish superiority to current interaction-capable GxE methods because no locked challenger was evaluated under the same B14C seal.
MIXED_EXTERNAL_FAILURE_MECHANISM,SUPPORTED_DIAGNOSTICALLY,False,MECHANISTIC_SUPPORT,environment SSE fraction=0.429620; within-environment fraction=0.570380; median predicted/observed SD ratio=0.288300,"B16 is postoutcome diagnosis, not a validated correction or new decomposition method."
ADDITIVE_G_PLUS_E_NO_INTERACTION_LIMITATION,SUPPORTED_STRUCTURAL_INTERPRETATION_PRIOR_ART,False,MECHANISTIC_SUPPORT,Within-environment environmental main effect cancels from genotype contrasts; B17-T1 closes novelty.,"Do not present additive contrast invariance, ridge shrinkage, PEV/CD or KRR leverage as new theory."
SUPPORT_BASED_ABSTENTION,NOT_EXTERNALLY_VALIDATED_AS_SELECTIVE_ERROR_MECHANISM,False,LIMITATION,Observable B12/B14C cells remained supported; prior selective filtering did not establish useful error separation.,No claim that support abstention improves deployed risk without a new sealed experiment containing abstention cases.
NEW_CALIBRATION_TRANSPORT_OR_FEEDBACK_DECISION_METHOD,NOVELTY_REJECTED_B15,False,EXCLUDED_CLAIM,B15 and B15-T1 terminated after prior-art equivalence.,Background lemmas may explain the problem; they are not method contributions.
NEW_RESPONSE_AMPLITUDE_OR_ARCHITECTURE_CONTRACTION_METHOD,NOVELTY_REJECTED_B17,False,EXCLUDED_CLAIM,B17/B17-T1 terminate with no model modification.,"Under-dispersion and no-interaction contraction are diagnostics/known structure, not a new methodology."
