doi,primary_source,occupied_or_contextual_space,closure_implication
10.1093/genetics/iyae195,Washburn et al. 2025,G2F prediction competition and diverse model strategies; test feedback was limited but not zero.,"Supports distinguishing our one-shot repository seal discipline from competition feedback, but does not create algorithmic novelty."
10.1186/s13104-026-07629-5,Chen et al. 2026,"Official G2F 2024 competition resource; 2014-2023 training and 2024 test data, with observed values unavailable to participants during competition and now public.","Forces accurate wording: our 2026 execution is blinded/seal-first relative to repository access, not calendar-time prospective."
10.1093/genetics/iyae171,Hu et al. 2025,MegaLMM extension predicts new environments using environmental covariates and latent factor loadings.,Generic environment-conditioned GxE transport is occupied.
10.1093/genetics/iyae179,Xavier et al. 2025,Scalable latent/multivariate GxE covariance models including MegaLMM/MegaSEM/XFA/HCS.,Complex interaction-capable GxE architecture is occupied.
10.1007/s00122-025-04865-4,Avagyan et al. 2025,Penalized factorial regression/reaction norms for GxE prediction.,Genotype-specific environmental response slopes are occupied.
10.1007/s00122-025-05103-7,Hrachov et al. 2026,Regression frameworks for GxE and prediction into unseen environments.,Unseen-environment reaction-norm/regression framing is occupied.
10.1007/s00122-026-05280-z,Eckhoff et al. 2026,ML/DNN target and loss engineering for within-environment genotype differences; MSED/shrinkage diagnostics.,Response-amplitude/difference-shrinkage route is directly occupied.
10.1371/journal.pcbi.1013729,Morshedian & Domaratzki 2026,LSTM-attention GNN explicitly models GxE with a forward-time 2014-2021/2022 split.,A B18 based merely on adding nonlinear GxE interactions or a forward-time split would not be novel.
10.1093/g3journal/jkab440,Rogers et al. 2022,Environment-specific maize genomic prediction with environmental covariates and environmental similarity.,Environmental-similarity and main-effect G+E prediction are established.
10.1093/g3journal/jkad006,Kick et al. 2023,"Deep learning integrates genetic, environment and management data with interaction layers and time-indexed weather.",Multimodal interaction modeling is established; early post-planting weather importance is already studied.
10.1093/plphys/kiag344,Adak et al. 2026,"Temporal phenomics/environment index plus genomic prediction across environments, with growth windows in days after planting.",Decision-time/early-season environmental windows are not automatically novel; B18 needs a sharper hypothesis than truncating weather.
