stage,evidence_class,terminal_status,primary_or_secondary,publication_role,allowed_use
B12_PRIMARY,ABORTED_CONFIRMATORY,B12_PRIMARY_INCOMPLETE_OFFICIAL_OUTCOME_MATCH,PRIMARY,Preserve missing official outcome keys and explain why the 420-cell seal is not a completed confirmatory calibration test.,Methods and Results provenance; never report as completed calibration failure.
B12_AVAILABLE_CASE,DIAGNOSTIC,B12_AVAILABLE_CASE_DIAGNOSTIC_90_CRITERION_NOT_MET,SECONDARY,Provide the first external diagnostic signal of interval undercoverage on 387 observable sealed keys.,Results with explicit diagnostic label; may motivate B13 protocol but not replace B12 primary estimand.
B13,PREOUTCOME_PROTOCOL_LOCK,B13_FORWARD_DRIFT_CALIBRATION_LOCKED,PRIMARY,Define the two frozen 90% interval competitors and officially observable sealed-key estimand before 2023 outcome evaluation.,Methods and protocol chronology; not a performance result.
B13A,PREOUTCOME_SOURCE_COMPATIBILITY_FAILURE,B13A_2023_T1_CONTEXT_INSUFFICIENT,PRIMARY,Show that the declared decision-time information state could not be reconstructed from the official 2023 source interface.,Results and Discussion as deployment-interface failure.
B13S,EXTERNAL_PROVENANCE_NEGATIVE_RESULT,B13S_2023_NO_ADMISSIBLE_PLANTING_DATE_RECOVERY,PRIMARY,Confirm no admissible exact planting-date recovery from the audited authoritative historical source path.,Results and provenance support for closing the 2023 path.
B14A,PREOUTCOME_SOURCE_COMPATIBILITY_PASS,B14A_2024_READY_FOR_PREOUTCOME_SEAL,PRIMARY,Establish the 798-cell 2024 candidate universe under unchanged B5 support and T1 encoding.,Methods and Results before prediction seal.
B14B,IMMUTABLE_PREDICTION_SEAL,B14B_2024_SEALED_PREDICTIONS_READY_FOR_REVEAL,PRIMARY,Freeze 798 predictions and immutable SHA-256 before repository access to observed 2024 outcomes.,Central reproducibility evidence.
B14C,COMPLETED_CONFIRMATORY_EXTERNAL_EVALUATION,B14C_AUTHORITATIVE_PASS_BOOLEANS_CONTROL_TRUE_ADAPTIVE_FALSE,PRIMARY,Provide the sole completed confirmatory external anchor in the closure span on 779 officially observable sealed keys.,Central Results evidence for point prediction and uncertainty comparison.
B15,NEGATIVE_METHOD_NOVELTY_AUDIT,B15_T1_FEEDBACK_DECISION_NOVELTY_REJECTED_TERMINATE_B15,SECONDARY,Prevent calibration-transport and feedback-decision formalism from being presented as new methodology.,Methods/Discussion research-hygiene provenance; no novelty claim.
B16,POSTOUTCOME_DIAGNOSTIC,B16_EXTERNAL_ERROR_STRUCTURE_DIAGNOSTIC,SECONDARY,Diagnose mixed environment-offset and within-environment failure plus response under-dispersion without repairing the predictor.,Failure Analysis and Discussion only; not confirmatory method evidence.
B17,STRUCTURAL_BACKGROUND_AND_NEGATIVE_NOVELTY,B17_T1_ARCHITECTURE_CONTRACTION_NOVELTY_REJECTED_TERMINATE_B17,SECONDARY,Explain the additive architecture's environment-invariant genotype contrasts and reject novelty inflation.,Discussion/Limitations structural explanation; algebra is background.
CASE_STUDY_B_CLOSURE,SCIENTIFIC_CONTRIBUTION_AUDIT,CASE_STUDY_B_CLOSED_EXTERNAL_VALIDATION_CONTRIBUTION_SUPPORTED_METHOD_NOVELTY_NOT_SUPPORTED_B18_SEPARATE_HYPOTHESIS_GATE_ONLY,PRIMARY,Freeze publication framing and claim boundaries after B17-T1.,Publication framing and evidence classification.
B18,NEGATIVE_FORECAST_TIME_NOVELTY_AUDIT,B18_FORECAST_TIME_INFORMATION_NOVELTY_REJECTED_NO_MODEL_DEVELOPMENT,SECONDARY,Show that forecast-time GxE framing collides with primary prior art and standard information logic before model development.,Discussion/research-hygiene evidence; record as negative novelty audit.
