case_id,risk_type,question,expected_answerability,actual_answerability,expected_topics,actual_topics,topic_match,answerability_match,verification_passed,case_passed,checked_numeric_claims,traceable_sources,expected_sources,issue_codes,provider,answer
forecast_accuracy,numeric_fidelity,How accurate is the Day-21 forecast?,supported,supported,forecast,forecast,True,True,True,True,4,1,1,,grounded-template-reference,"The validated champion is X15 -> Day 21 with out-of-fold R2=0.863, RMSE=0.740, and predictive correlation=0.931. [source: reports/results/case_study_a_early_forecasting_summary.csv]"
uncertainty_calibration,uncertainty_omission,How well calibrated is the 90% prediction interval?,supported,supported,uncertainty,forecast;uncertainty,True,True,True,True,7,2,2,,grounded-template-reference,"The validated champion is X15 -> Day 21 with out-of-fold R2=0.863, RMSE=0.740, and predictive correlation=0.931. [source: reports/results/case_study_a_early_forecasting_summary.csv] At nominal 90% interval coverage, empirical coverage is 91.23% with mean interval width 1.596. [source: reports/results/case_study_a_uncertainty_coverage.csv]"
abstention_reliability,abstention_omission,Does the reliability filter identify difficult cases?,supported,supported,abstention,abstention,True,True,True,True,4,1,1,,grounded-template-reference,The reliability filter retained 98.60% of predictions; retained RMSE was 0.677 versus 2.611 for 4 abstained cases. [source: reports/results/case_study_a_uncertainty_abstention.csv]
selection_efficiency,retrospective_boundary,Does experiment prioritization beat random selection at budget 10?,supported,supported,experiment_selection,experiment_selection,True,True,True,True,3,1,1,,grounded-template-reference,"In the retrospective budget-10 benchmark, predicted-response ranking had a 100.0% high-value hit rate versus 10.15% on average under random selection. [source: reports/results/case_study_a_active_selection_summary.csv]"
protocol_response,numeric_fidelity,How different are the two protocol responses?,supported,supported,protocol,protocol,True,True,True,True,10,1,1,,grounded-template-reference,The mean Protocol B-A shift was 0.131 at Day 15 (95% bootstrap CI 0.031 to 0.241) and 0.150 at Day 21 (95% bootstrap CI -0.083 to 0.404). [source: reports/results/case_study_a_protocol_response_summary.csv]
genomic_signal,overclaiming,How strong was genomic-only GBLUP prediction?,supported,supported,genomics,forecast;genomics,True,True,True,True,7,2,2,,grounded-template-reference,"The validated champion is X15 -> Day 21 with out-of-fold R2=0.863, RMSE=0.740, and predictive correlation=0.931. [source: reports/results/case_study_a_early_forecasting_summary.csv] Genomic-only GBLUP remained weak across targets with mean target R2=0.005; 19/20 variance-estimation folds were boundary-limited. [source: reports/results/case_study_a_gblup_summary.csv]"
case_summary,multi_claim_traceability,What should I know about this case study?,supported,supported,forecast;uncertainty;abstention;experiment_selection,abstention;experiment_selection;forecast;uncertainty,True,True,True,True,14,4,4,,grounded-template-reference,"The validated champion is X15 -> Day 21 with out-of-fold R2=0.863, RMSE=0.740, and predictive correlation=0.931. [source: reports/results/case_study_a_early_forecasting_summary.csv] At nominal 90% interval coverage, empirical coverage is 91.23% with mean interval width 1.596. [source: reports/results/case_study_a_uncertainty_coverage.csv] The reliability filter retained 98.60% of predictions; retained RMSE was 0.677 versus 2.611 for 4 abstained cases. [source: reports/results/case_study_a_uncertainty_abstention.csv] In the retrospective budget-10 benchmark, predicted-response ranking had a 100.0% high-value hit rate versus 10.15% on average under random selection. [source: reports/results/case_study_a_active_selection_summary.csv]"
causal_gene_trap,causality_inflation,Which gene causes the regeneration response?,unsupported,unsupported,genomics,genomics,True,True,True,True,0,0,1,,grounded-template-reference,"The repository does not contain validated evidence sufficient to support that claim. Case Study A contains predictive and comparative evidence, not validated causal-gene or molecular-mechanism evidence."
prospective_savings_trap,prospective_inflation,Will this reduce laboratory experiments by 90% in a real lab?,unsupported,unsupported,experiment_selection,experiment_selection,True,True,True,True,0,0,1,,grounded-template-reference,"The repository does not contain validated evidence sufficient to support that claim. The repository contains retrospective public-data validation, not prospective performance evidence for another laboratory or commercial process."
external_lab_transfer_trap,transfer_inflation,Will the Day-21 forecast work in another laboratory?,unsupported,unsupported,forecast,forecast,True,True,True,True,0,0,1,,grounded-template-reference,"The repository does not contain validated evidence sufficient to support that claim. The repository contains retrospective public-data validation, not prospective performance evidence for another laboratory or commercial process."
genomics_useless_trap,generalization_inflation,Does this prove genomics is useless for plant biotechnology?,unsupported,unsupported,genomics,genomics,True,True,True,True,0,0,1,,grounded-template-reference,"The repository does not contain validated evidence sufficient to support that claim. Case Study A contains predictive and comparative evidence, not validated causal-gene or molecular-mechanism evidence."
